Date,Average,Normal year
2016-01-04,"3,400","7,356"
2016-01-05,"3,500","7,405"
2016-01-06,"3,500","7,413"
2016-01-07,"3,550","6,020"
2016-01-08,"3,550","5,405"
2016-01-11,"3,700","5,840"
2016-01-12,"3,700","5,767"
2016-01-13,"3,700","5,787"
2016-01-14,"3,800","5,833"
2016-01-15,"3,800","5,807"
2016-01-18,"4,100","5,760"
2016-01-19,"4,300","5,790"
2016-01-20,"4,700","5,810"
2016-01-21,"4,800","5,777"
2016-01-22,"5,300","5,710"
2016-01-25,"5,900","5,580"
2016-01-26,"5,700","5,560"
2016-01-27,"6,400","5,527"
2016-01-28,"6,400","5,498"
2016-01-29,"6,600","5,472"
2016-02-01,"6,100","5,392"
2016-02-02,"6,000","5,374"
2016-02-03,"6,100","5,403"
2016-02-04,"6,100","5,415"
2016-02-05,"6,200","5,415"
2016-02-11,"6,000","5,418"
2016-02-12,"6,000","5,447"
2016-02-15,"6,600","5,667"
2016-02-16,"7,000","5,833"
2016-02-17,"7,400","5,980"
2016-02-18,"7,800","6,095"
2016-02-19,"8,000","6,118"
2016-02-22,"7,800","6,437"
2016-02-23,"8,400","6,513"
2016-02-24,"8,600","6,580"
2016-02-25,"8,200","6,618"
2016-02-26,"8,600","6,622"
2016-02-29,"8,800","6,280"
2016-03-02,"9,800","6,887"
2016-03-03,"9,800","6,973"
2016-03-04,"9,800","7,020"
2016-03-07,"10,200","7,413"
2016-03-08,"10,400","7,480"
2016-03-09,"10,400","7,467"
2016-03-10,"10,400","7,438"
2016-03-11,"10,400","7,405"
2016-03-14,"10,200","7,360"
2016-03-15,"10,200","7,340"
2016-03-16,"10,400","7,327"
2016-03-17,"10,400","7,300"
2016-03-18,"10,600","7,273"
2016-03-21,"10,600","7,480"
2016-03-22,"10,800","7,493"
2016-03-23,"10,800","7,580"
2016-03-24,"10,600","7,570"
2016-03-25,"10,800","7,503"
2016-03-28,"11,800","7,407"
2016-03-29,"11,800","7,387"
2016-03-30,"11,800","7,373"
2016-03-31,"11,800","7,367"
2016-04-01,"12,800","7,380"
2016-04-04,"13,000","7,593"
2016-04-05,"13,400","7,567"
2016-04-06,"13,600","7,547"
2016-04-07,"14,000","7,465"
2016-04-08,"14,000","7,345"
2016-04-11,"14,000","7,213"
2016-04-12,"13,800","7,047"
2016-04-14,"13,600","6,720"
2016-04-15,"13,400","6,527"
2016-04-18,"13,600","8,577"
2016-04-19,"13,200","8,540"
2016-04-20,"13,000","6,584"
2016-04-21,"13,000","6,542"
2016-04-22,"13,200","6,559"
2016-04-25,"13,400","6,856"
2016-04-26,"13,400","6,829"
2016-04-27,"12,800","6,770"
2016-04-28,"13,400","6,835"
2016-04-29,"13,300","6,417"
2016-05-02,"12,200","6,176"
2016-05-03,"11,800","5,942"
