Date,Average,Normal year
2016-05-04,"11,000","5,780"
2016-05-09,"9,800","4,511"
2016-05-10,"9,800","4,484"
2016-05-11,"9,800","4,467"
2016-05-12,"9,400","4,461"
2016-05-13,"9,200","4,588"
2016-05-16,"10,400","5,334"
2016-05-17,"10,600","5,311"
2016-05-18,"10,000","5,427"
2016-05-19,"10,200","5,687"
2016-05-20,"10,200","5,433"
2016-05-23,"9,600","5,133"
2016-05-24,"9,600","5,025"
2016-05-25,"9,600","4,978"
2016-05-26,"9,200","4,964"
2016-05-27,"8,800","4,972"
2016-05-30,"7,000","3,660"
2016-05-31,"6,400","3,593"
2016-06-01,"6,200","3,530"
2016-06-02,"6,000","3,524"
2016-06-03,"5,800","3,497"
2016-06-07,"5,400","3,353"
2016-06-08,"5,200","3,302"
2016-06-09,"4,900","3,279"
2016-06-10,"4,600","3,280"
2016-06-13,"4,800","3,263"
2016-06-14,"4,600","3,292"
2016-06-15,"4,000","3,337"
2016-06-16,"4,000","3,385"
2016-06-17,"4,400","3,489"
2016-06-20,"5,000","3,726"
2016-06-21,"5,500","3,792"
2016-06-22,"5,100","3,850"
2016-06-23,"5,500","3,895"
2016-06-24,"5,600","3,896"
2016-06-27,"5,400","4,413"
2016-06-28,"5,200","4,487"
2016-06-29,"4,700","4,502"
2016-06-30,"4,700","4,508"
2016-07-01,"4,700","4,575"
2016-07-04,"4,700","4,745"
2016-07-05,"5,200","4,725"
2016-07-06,"5,500","4,700"
2016-07-07,"6,200","4,705"
2016-07-08,"6,200","4,707"
2016-07-11,"6,000","4,673"
2016-07-12,"6,400","4,795"
2016-07-13,"7,400","4,912"
2016-07-14,"7,400","5,115"
2016-07-15,"7,400","5,093"
2016-07-18,"7,400","5,186"
2016-07-19,"7,200","5,256"
2016-07-20,"6,900","6,007"
2016-07-21,"6,600","6,219"
2016-07-22,"6,700","6,447"
2016-07-25,"6,700","6,668"
2016-07-26,"6,800","6,521"
2016-07-27,"6,800","6,620"
2016-07-28,"7,100","6,635"
2016-07-29,"7,300","6,285"
2016-08-01,"9,400","6,246"
2016-08-02,"10,200","6,286"
2016-08-03,"10,400","6,321"
2016-08-04,"9,800","6,353"
2016-08-05,"10,400","6,078"
2016-08-08,"9,800","6,308"
2016-08-09,"10,400","6,406"
2016-08-10,"11,400","6,495"
2016-08-11,"11,600","6,436"
2016-08-12,"11,800","7,992"
2016-08-16,"12,200","8,307"
2016-08-17,"13,400","8,333"
2016-08-18,"13,400","8,407"
2016-08-19,"13,800","8,493"
2016-08-22,"16,000","8,580"
2016-08-23,"16,400","8,600"
2016-08-24,"16,400","8,660"
2016-08-25,"16,400","8,673"
2016-08-26,"17,200","8,673"
2016-08-29,"18,000","8,884"
2016-08-30,"19,600","8,972"
2016-08-31,"20,800","9,012"
2016-09-01,"21,200","9,025"
2016-09-02,"20,800","9,091"
2016-09-05,"20,400","9,384"
2016-09-06,"20,000","9,443"
2016-09-07,"19,600","9,470"
2016-09-08,"20,400","9,483"
2016-09-09,"18,800","9,450"
2016-09-12,"18,600","9,363"
2016-09-13,"20,400","9,367"
2016-09-19,"17,400","8,298"
2016-09-20,"17,800","8,062"
2016-09-21,"18,000","7,895"
2016-09-22,"17,600","7,765"
2016-09-23,"17,200","7,513"
2016-09-26,"17,400","6,696"
2016-09-27,"17,400","6,450"
2016-09-28,"17,200","6,320"
2016-09-29,"16,200","6,266"
2016-09-30,"16,200","6,109"
2016-10-04,"15,400","5,373"
2016-10-05,"14,400","5,317"
2016-10-06,"14,000","5,217"
2016-10-07,"12,800","5,087"
2016-10-10,"10,660","4,740"
2016-10-11,"9,600","4,672"
2016-10-12,"8,600","4,638"
2016-10-13,"7,800","4,616"
2016-10-14,"8,000","4,539"
2016-10-17,"8,000","4,352"
2016-10-18,"8,000","4,297"
2016-10-19,"7,400","4,257"
2016-10-20,"6,800","4,223"
2016-10-21,"6,800","4,207"
2016-10-24,"6,000","4,120"
2016-10-25,"6,000","4,043"
2016-10-26,"6,000","3,988"
2016-10-27,"5,400","3,882"
2016-10-28,"5,400","3,735"
2016-10-31,"5,400","3,337"
2016-11-01,"5,300","3,278"
2016-11-02,"5,200","3,213"
2016-11-03,"5,200","3,508"
2016-11-04,"5,100","3,441"
2016-11-07,"5,000","3,566"
2016-11-08,"5,200","3,609"
2016-11-09,"5,800","3,915"
2016-11-10,"5,400","3,948"
2016-11-11,"5,600","3,884"
2016-11-14,"5,600","3,610"
2016-11-15,"5,600","3,655"
2016-11-16,"6,200","3,687"
2016-11-17,"6,400","3,702"
2016-11-18,"8,000","3,777"
2016-11-21,"8,400","4,088"
2016-11-22,"8,200","4,132"
2016-11-23,"8,200","4,168"
2016-11-24,"8,400","4,212"
2016-11-25,"8,400","4,227"
2016-11-28,"8,400","4,312"
2016-11-29,"8,400","4,312"
2016-11-30,"8,200","4,307"
2016-12-01,"8,400","4,288"
2016-12-05,"8,200","3,870"
2016-12-06,"8,000","3,777"
2016-12-07,"7,400","3,725"
2016-12-08,"7,400","3,678"
2016-12-09,"6,800","3,560"
2016-12-12,"7,200","3,235"
2016-12-13,"7,000","3,183"
2016-12-14,"6,800","3,163"
2016-12-15,"6,800","3,155"
2016-12-16,"7,600","3,153"
2016-12-19,"7,200","3,098"
2016-12-20,"7,000","3,098"
2016-12-21,"7,500","3,087"
2016-12-22,"7,300","3,080"
2016-12-23,"7,000","3,087"
2016-12-26,"7,200","3,100"
2016-12-27,"7,200","3,113"
2016-12-28,"7,200","3,123"
2016-12-29,"7,200","3,137"
2016-12-30,"7,000","3,153"
