Date,Average,Normal year
2016-09-09,"18,400","11,573"
2016-09-12,"19,400","11,677"
2016-09-13,"22,400","11,963"
2016-09-19,"18,600","12,473"
2016-09-20,"20,200","11,963"
2016-09-21,"19,200","11,417"
2016-09-22,"18,800","11,177"
2016-09-23,"18,200","10,960"
2016-09-26,"18,400","10,453"
2016-09-27,"19,400","10,227"
2016-09-28,"20,600","10,127"
2016-09-29,"20,000","10,100"
2016-09-30,"19,400","10,000"
2016-10-04,"22,660","9,523"
2016-10-05,"24,260","9,533"
2016-10-06,"26,400","9,453"
2016-10-07,"27,400","9,360"
2016-10-10,"28,200","9,000"
2016-10-11,"25,600","8,830"
2016-10-12,"24,200","8,717"
2016-10-13,"23,600","8,713"
2016-10-14,"22,600","8,640"
2016-10-17,"22,600","8,365"
2016-10-18,"21,800","8,343"
2016-10-19,"21,200","8,350"
2016-10-20,"21,400","8,297"
2016-10-21,"21,800","8,229"
2016-10-24,"21,400","8,053"
2016-10-25,"21,400","7,915"
2016-10-26,"21,800","7,790"
2016-10-27,"22,400","7,720"
2016-10-28,"22,400","7,687"
2016-10-31,"16,400","7,458"
2016-11-01,"14,100","7,396"
2016-11-02,"14,000","7,370"
2016-11-03,"13,330","7,844"
2016-11-04,"13,230","7,794"
2016-11-07,"13,200","7,755"
2016-11-08,"12,800","7,792"
2016-11-09,"13,200","8,117"
2016-11-10,"12,800","8,137"
2016-11-11,"12,800","7,843"
2016-11-14,"13,400","7,243"
2016-11-15,"13,600","7,233"
2016-11-16,"13,600","7,197"
2016-11-17,"14,000","7,200"
2016-11-18,"13,800","7,260"
2016-11-21,"14,400","7,640"
2016-11-22,"14,800","7,693"
2016-11-23,"14,600","7,767"
2016-11-24,"14,200","7,840"
2016-11-25,"14,200","7,927"
2016-11-28,"14,200","8,068"
2016-11-29,"14,200","8,082"
2016-11-30,"15,800","8,073"
2016-12-01,"16,800","8,067"
2016-12-05,"18,600","7,856"
2016-12-06,"18,000","7,737"
2016-12-07,"19,200","7,633"
2016-12-08,"19,200","7,558"
2016-12-09,"19,800","7,400"
2016-12-12,"20,000","7,063"
2016-12-13,"20,400","7,063"
2016-12-14,"21,000","7,070"
2016-12-15,"23,000","7,070"
2016-12-16,"23,300","7,080"
2016-12-19,"22,800","7,112"
2016-12-20,"23,000","7,072"
2016-12-21,"24,200","7,042"
2016-12-22,"23,900","7,685"
2016-12-23,"24,200","7,630"
2016-12-26,"22,000","7,850"
2016-12-27,"21,000","7,748"
2016-12-28,"20,300","7,770"
2016-12-29,"20,300","7,751"
2016-12-30,"19,200","7,744"
