Date,Average,Normal year
2016-01-04,"7,200","8,577"
2016-01-05,"7,400","10,050"
2016-01-06,"7,400","9,968"
2016-01-07,"7,400","9,703"
2016-01-08,"7,200","9,573"
2016-01-11,"7,200","9,042"
2016-01-12,"7,000","8,803"
2016-01-13,"7,000","8,715"
2016-01-14,"6,600","8,614"
2016-01-15,"6,600","8,504"
2016-01-18,"6,800","8,398"
2016-01-19,"7,000","8,393"
2016-01-20,"7,600","8,332"
2016-01-21,"8,000","8,296"
2016-01-22,"8,600","8,276"
2016-01-25,"11,400","7,942"
2016-01-26,"11,600","7,748"
2016-01-27,"11,400","7,667"
2016-01-28,"11,800","7,643"
2016-01-29,"15,000","7,650"
2016-02-01,"16,800","7,789"
2016-02-02,"17,000","7,853"
2016-02-03,"16,000","7,856"
2016-02-04,"15,200","7,870"
2016-02-05,"13,800","7,885"
2016-02-11,"10,400","8,580"
2016-02-12,"9,000","8,679"
2016-02-13,"8,800","9,383"
2016-02-14,"9,200","9,620"
2016-02-15,"9,000","9,838"
2016-02-16,"8,800","9,780"
2016-02-17,"8,800","9,705"
2016-02-22,"8,800","9,578"
2016-02-23,"8,400","9,563"
2016-02-24,"8,400","9,557"
2016-02-25,"8,600","9,643"
2016-02-26,"8,600","9,642"
2016-02-29,"9,200","8,720"
2016-03-02,"11,000","9,996"
2016-03-03,"12,800","10,231"
2016-03-04,"12,600","10,433"
2016-03-07,"12,400","10,530"
2016-03-08,"12,200","10,459"
2016-03-09,"12,600","10,271"
2016-03-10,"12,200","10,098"
2016-03-11,"12,000","9,961"
2016-03-14,"11,400","9,791"
2016-03-15,"11,400","9,744"
2016-03-16,"12,200","9,767"
2016-03-17,"11,800","9,851"
2016-03-18,"11,800","9,955"
2016-03-21,"11,800","10,194"
2016-03-22,"12,000","10,428"
2016-03-23,"11,600","10,575"
2016-03-24,"11,600","10,554"
2016-03-25,"11,600","10,506"
2016-03-28,"11,800","10,390"
2016-03-29,"12,600","10,171"
2016-03-30,"13,200","9,996"
2016-03-31,"13,600","9,938"
2016-04-01,"13,800","9,980"
2016-04-04,"14,600","10,008"
2016-04-05,"16,200","10,076"
2016-04-06,"16,400","10,141"
2016-04-07,"17,000","10,215"
2016-04-08,"17,000","10,175"
2016-04-11,"17,200","10,103"
2016-04-12,"16,600","10,000"
2016-04-14,"16,400","9,543"
2016-04-15,"16,600","9,395"
2016-04-18,"16,600","9,230"
2016-04-19,"15,800","9,136"
2016-04-20,"15,600","9,130"
2016-04-21,"15,000","9,099"
2016-04-22,"14,000","9,070"
2016-04-25,"14,400","9,283"
2016-04-26,"15,200","9,184"
2016-04-27,"15,800","9,061"
2016-04-28,"16,400","8,907"
2016-04-29,"17,600","8,799"
2016-05-02,"18,000","8,783"
2016-05-03,"17,600","8,853"
2016-05-04,"17,600","9,038"
2016-05-09,"17,200","9,594"
2016-05-10,"17,200","9,756"
2016-05-11,"17,200","9,803"
2016-05-12,"17,000","9,812"
2016-05-13,"16,400","9,715"
2016-05-16,"15,800","9,674"
2016-05-17,"15,200","10,633"
2016-05-18,"15,000","10,155"
2016-05-19,"13,800","9,868"
2016-05-20,"13,400","9,652"
2016-05-23,"11,900","9,454"
2016-05-24,"11,900","8,835"
2016-05-25,"11,900","8,714"
2016-05-26,"11,000","8,643"
2016-05-27,"10,500","8,609"
2016-05-30,"10,600","8,614"
2016-05-31,"10,100","8,599"
2016-06-01,"9,933","8,517"
2016-06-02,"9,433","8,494"
2016-06-03,"8,900","8,786"
2016-06-07,"8,900","8,294"
2016-06-08,"9,200","8,227"
2016-06-09,"8,800","7,865"
2016-06-10,"8,600","7,731"
2016-06-13,"8,400","7,995"
2016-06-14,"8,200","8,050"
2016-06-15,"8,200","7,493"
2016-06-16,"8,400","7,507"
2016-06-17,"8,800","7,988"
2016-06-20,"8,800","7,925"
2016-06-21,"9,000","7,942"
2016-06-22,"10,000","7,925"
2016-06-23,"11,800","7,888"
2016-06-24,"11,000","7,846"
2016-06-27,"10,200","7,940"
2016-06-28,"9,200","7,854"
2016-06-29,"9,000","10,080"
2016-06-30,"9,000","10,350"
2016-07-01,"9,400","10,680"
2016-07-04,"12,000","11,633"
2016-07-05,"12,400","11,757"
2016-07-06,"12,000","11,833"
2016-07-07,"12,000","11,880"
2016-07-08,"11,200","11,967"
2016-07-11,"9,200","10,747"
2016-07-12,"9,000","10,620"
2016-07-13,"9,200","10,643"
2016-07-14,"9,200","10,770"
2016-07-15,"9,400","10,993"
2016-07-18,"10,600","11,160"
2016-07-19,"9,600","11,093"
2016-07-20,"9,800","11,087"
2016-07-21,"10,000","11,293"
2016-07-22,"10,000","11,700"
2016-07-25,"10,000","11,917"
2016-07-26,"10,600","12,077"
2016-07-27,"10,200","12,037"
2016-07-28,"10,200","11,997"
2016-07-29,"9,800","11,947"
2016-08-01,"9,200","11,783"
2016-08-02,"9,400","11,770"
2016-08-03,"9,400","11,663"
2016-08-04,"9,500","10,743"
2016-08-05,"10,000","10,595"
2016-08-08,"10,000","10,343"
2016-08-09,"10,300","9,588"
2016-08-10,"10,200","13,730"
2016-08-11,"11,400","13,271"
2016-08-12,"10,800","14,543"
2016-08-16,"11,800","11,782"
2016-08-17,"13,000","11,473"
2016-08-18,"13,000","11,233"
2016-08-19,"13,600","11,200"
2016-08-22,"14,400","11,298"
2016-08-23,"14,600","11,445"
2016-08-24,"15,200","11,617"
2016-08-25,"16,200","11,720"
2016-08-26,"16,800","11,730"
2016-08-29,"18,400","11,767"
2016-08-30,"20,000","11,833"
2016-08-31,"21,800","11,783"
2016-09-01,"25,400","11,667"
2016-09-02,"23,600","11,617"
2016-09-05,"22,200","11,507"
2016-09-06,"20,800","11,540"
2016-09-07,"19,200","11,577"
2016-09-08,"19,000","11,583"
