Date,Average,Normal year
2017-01-02,"7,600","3,165"
2017-01-03,"8,000","3,172"
2017-01-04,"8,400","7,384"
2017-01-05,"7,800","7,501"
2017-01-06,"7,400","5,518"
2017-01-09,"7,400","3,583"
2017-01-10,"7,400","3,583"
2017-01-11,"8,000","3,580"
2017-01-12,"8,000","3,573"
2017-01-13,"8,000","3,553"
2017-01-16,"8,400","3,607"
2017-01-17,"8,200","3,573"
2017-01-18,"8,000","3,593"
2017-01-19,"7,800","3,647"
2017-01-20,"7,800","3,753"
2017-01-23,"8,800","3,972"
2017-01-24,"8,800","3,965"
2017-01-25,"8,800","4,040"
2017-01-26,"8,800","4,153"
2017-01-31,"8,800","4,230"
2017-02-01,"8,200","4,218"
2017-02-02,"8,400","4,234"
2017-02-03,"8,200","4,236"
2017-02-06,"8,200","4,292"
2017-02-07,"8,200","4,352"
2017-02-08,"8,200","4,417"
2017-02-09,"8,200","4,463"
2017-02-10,"8,200","4,498"
2017-02-13,"8,200","4,647"
2017-02-14,"7,600","4,653"
2017-02-15,"7,600","4,740"
2017-02-16,"7,600","4,887"
2017-02-17,"7,000","5,060"
2017-02-20,"8,300","5,357"
2017-02-21,"8,600","5,450"
2017-02-22,"8,200","5,583"
2017-02-23,"8,200","5,673"
2017-02-24,"8,200","5,767"
2017-02-27,"8,000","5,970"
2017-02-28,"8,000","6,033"
2017-03-02,"8,000","6,380"
2017-03-03,"7,600","6,547"
2017-03-06,"7,600","6,950"
2017-03-07,"7,600","7,080"
2017-03-08,"7,600","7,187"
2017-03-09,"7,600","7,240"
2017-03-10,"7,600","7,252"
2017-03-13,"7,300","7,227"
2017-03-14,"7,300","7,227"
2017-03-15,"7,300","7,233"
2017-03-16,"7,500","7,273"
2017-03-17,"7,500","7,300"
2017-03-20,"7,500","7,513"
2017-03-21,"7,500","7,573"
2017-03-22,"7,300","7,613"
2017-03-23,"6,900","7,680"
2017-03-24,"7,300","7,730"
2017-03-27,"7,900","7,780"
2017-03-28,"7,500","7,747"
2017-03-29,"7,300","7,807"
2017-03-30,"7,300","7,863"
2017-03-31,"7,300","7,917"
2017-04-03,"7,300","8,093"
2017-04-04,"7,300","8,233"
2017-04-05,"7,100","8,287"
2017-04-06,"6,700","8,373"
2017-04-07,"6,500","8,395"
2017-04-10,"6,000","8,487"
2017-04-11,"6,400","8,477"
2017-04-12,"5,500","8,487"
2017-04-13,"5,400","8,560"
2017-04-14,"5,400","8,592"
2017-04-17,"5,200","8,567"
2017-04-18,"5,200","9,744"
2017-04-19,"5,400","9,758"
2017-04-20,"5,400","9,757"
2017-04-21,"5,400","9,775"
2017-04-24,"5,400","9,723"
2017-04-25,"5,100","9,720"
2017-04-26,"5,000","9,693"
2017-04-27,"5,000","9,628"
2017-04-28,"4,800","8,786"
2017-05-02,"4,070","7,993"
2017-05-04,"4,220","7,462"
2017-05-08,"4,370","7,290"
2017-05-10,"4,370","5,860"
2017-05-11,"3,440","5,794"
2017-05-12,"3,440","5,823"
2017-05-15,"3,140","6,211"
2017-05-16,"3,240","6,307"
2017-05-17,"3,240","6,296"
2017-05-18,"3,140","6,428"
2017-05-19,"3,140","6,658"
2017-05-22,"3,540","6,203"
2017-05-23,"3,540","6,086"
2017-05-24,"3,540","5,983"
2017-05-25,"3,540","5,924"
2017-05-26,"3,540","5,884"
2017-05-29,"2,800","5,317"
2017-05-30,"3,200","5,227"
2017-05-31,"3,000","5,067"
2017-06-01,"2,900","4,837"
2017-06-02,"3,100","4,715"
2017-06-05,"3,400","4,463"
2017-06-07,"4,300","4,367"
2017-06-08,"4,300","4,248"
2017-06-09,"4,400","4,168"
2017-06-12,"3,800","4,082"
2017-06-13,"3,600","3,989"
2017-06-14,"3,600","3,932"
2017-06-15,"3,500","3,950"
2017-06-16,"3,400","3,965"
2017-06-19,"3,800","4,200"
2017-06-20,"3,800","4,277"
2017-06-21,"3,800","4,367"
2017-06-22,"4,400","4,425"
2017-06-23,"4,900","4,480"
2017-06-26,"4,600","4,725"
2017-06-27,"4,700","4,880"
2017-06-28,"4,700","4,927"
2017-06-29,"4,700","4,882"
2017-06-30,"4,500","4,842"
2017-07-03,"5,000","4,972"
2017-07-04,"5,100","5,012"
2017-07-05,"5,400","5,085"
2017-07-06,"4,800","5,178"
2017-07-07,"4,700","5,267"
2017-07-10,"5,340","5,360"
2017-07-11,"5,800","5,407"
2017-07-12,"6,900","5,435"
2017-07-13,"7,000","5,458"
2017-07-14,"7,000","5,415"
2017-07-17,"8,000","5,348"
2017-07-18,"8,200","5,426"
2017-07-19,"8,200","5,490"
2017-07-20,"8,400","5,462"
2017-07-21,"8,000","5,426"
2017-07-24,"9,300","6,377"
2017-07-25,"9,300","6,358"
2017-07-26,"10,400","6,308"
2017-07-27,"10,400","6,427"
2017-07-28,"10,000","6,405"
2017-07-31,"10,800","6,132"
2017-08-01,"10,700","6,316"
2017-08-02,"10,950","6,406"
2017-08-03,"11,350","6,489"
2017-08-04,"11,200","6,510"
2017-08-07,"11,350","6,380"
2017-08-08,"11,300","6,450"
2017-08-09,"11,600","6,564"
2017-08-10,"12,400","6,665"
2017-08-11,"12,900","6,553"
2017-08-14,"14,500","8,647"
2017-08-16,"13,900","8,867"
2017-08-17,"14,000","8,987"
2017-08-18,"14,600","9,110"
2017-08-21,"15,000","9,520"
2017-08-22,"15,300","9,607"
2017-08-23,"16,300","9,720"
2017-08-24,"15,300","9,812"
2017-08-25,"15,700","9,825"
2017-08-28,"15,600","9,967"
2017-08-29,"15,200","9,884"
2017-08-30,"15,400","9,852"
2017-08-31,"14,600","9,848"
2017-09-01,"16,400","9,908"
2017-09-04,"17,800","9,861"
2017-09-05,"18,400","9,911"
2017-09-06,"18,200","9,950"
2017-09-07,"18,000","9,910"
2017-09-08,"17,000","9,917"
2017-09-11,"16,200","9,940"
2017-09-12,"15,800","9,887"
2017-09-13,"15,600","9,877"
2017-09-14,"15,200","9,953"
2017-09-15,"15,000","9,978"
2017-09-18,"15,200","9,725"
2017-09-19,"14,600","9,798"
2017-09-20,"14,800","9,855"
2017-09-21,"14,000","9,882"
2017-09-22,"14,600","9,898"
2017-09-25,"14,000","9,180"
2017-09-26,"13,200","8,923"
2017-09-27,"12,800","8,703"
2017-09-28,"11,400","8,547"
2017-09-29,"12,000","8,503"
2017-10-10,"10,600","6,287"
2017-10-11,"10,400","5,952"
2017-10-12,"8,200","5,662"
2017-10-13,"6,600","5,501"
2017-10-16,"5,800","5,182"
2017-10-17,"5,000","5,105"
2017-10-18,"4,800","5,017"
2017-10-19,"4,600","4,910"
2017-10-20,"4,400","4,829"
2017-10-23,"4,700","4,660"
2017-10-24,"4,700","4,560"
2017-10-25,"4,700","4,477"
2017-10-26,"4,700","4,375"
2017-10-27,"4,700","4,299"
2017-10-30,"4,760","4,029"
2017-10-31,"4,760","3,590"
2017-11-01,"4,400","3,568"
2017-11-02,"4,360","3,563"
2017-11-03,"4,460","3,951"
2017-11-06,"4,400","3,877"
2017-11-07,"4,460","4,123"
2017-11-08,"4,960","4,195"
2017-11-09,"5,000","5,111"
