Date,Average,Normal year
2017-11-10,"5,200","5,164"
2017-11-13,"5,200","5,264"
2017-11-14,"5,000","4,508"
2017-11-15,"5,000","4,615"
2017-11-16,"5,160","4,768"
2017-11-17,"5,440","4,875"
2017-11-20,"5,240","5,267"
2017-11-21,"5,500","5,377"
2017-11-22,"5,560","5,460"
2017-11-23,"6,000","5,542"
2017-11-24,"6,200","5,598"
2017-11-27,"5,200","5,780"
2017-11-28,"4,960","5,865"
2017-11-29,"4,960","5,885"
2017-11-30,"4,960","5,900"
2017-12-04,"4,840","5,617"
2017-12-05,"4,500","5,543"
2017-12-06,"4,460","5,397"
2017-12-07,"4,500","5,245"
2017-12-08,"5,220","5,145"
2017-12-11,"5,420","4,740"
2017-12-12,"5,420","4,635"
2017-12-13,"5,420","4,548"
2017-12-14,"5,600","4,582"
2017-12-15,"5,660","4,575"
2017-12-18,"5,860","4,557"
2017-12-19,"5,900","4,532"
2017-12-20,"6,000","4,532"
2017-12-21,"6,040","4,447"
2017-12-22,"6,040","4,400"
2017-12-26,"5,900","6,063"
2017-12-27,"5,960","6,063"
2017-12-28,"5,900","6,068"
2017-12-29,"5,800","6,371"
