Date,Average,Normal year
2018-01-02,"6,660","8,754"
2018-01-03,"7,200","7,834"
2018-01-04,"7,380","7,842"
2018-01-05,"7,380","8,730"
2018-01-08,"7,380","8,680"
2018-01-09,"7,360","8,560"
2018-01-10,"7,060","8,387"
2018-01-11,"7,260","8,157"
2018-01-12,"6,860","8,030"
2018-01-15,"6,600","7,627"
2018-01-16,"6,800","7,503"
2018-01-17,"6,800","7,437"
2018-01-18,"6,600","7,507"
2018-01-19,"6,600","7,600"
2018-01-22,"6,600","8,427"
2018-01-23,"6,600","8,593"
2018-01-24,"6,600","8,593"
2018-01-25,"6,600","8,693"
2018-01-26,"6,600","8,953"
2018-01-29,"7,400","9,900"
2018-01-30,"8,400","10,047"
2018-01-31,"9,200","10,097"
2018-02-01,"9,200","10,217"
2018-02-02,"11,000","10,390"
2018-02-05,"13,800","9,627"
2018-02-06,"15,600","9,375"
2018-02-07,"16,000","9,383"
2018-02-08,"16,400","9,423"
2018-02-09,"15,600","9,433"
2018-02-12,"14,600","9,123"
2018-02-13,"13,600","8,999"
2018-02-14,"13,400","9,140"
2018-02-19,"13,000","8,767"
2018-02-20,"13,000","8,661"
2018-02-21,"12,800","8,597"
2018-02-22,"13,000","8,540"
2018-02-23,"13,000","8,500"
2018-02-26,"13,000","8,605"
2018-02-27,"13,200","8,661"
2018-02-28,"14,400","8,649"
2018-03-02,"16,400","9,133"
2018-03-05,"15,600","9,540"
2018-03-06,"15,000","9,527"
2018-03-07,"14,600","9,467"
2018-03-08,"14,800","9,347"
2018-03-09,"14,400","9,237"
2018-03-12,"15,600","9,020"
2018-03-13,"16,400","9,007"
2018-03-14,"14,400","9,000"
2018-03-15,"14,600","9,013"
2018-03-16,"14,400","9,043"
2018-03-19,"13,800","9,263"
2018-03-20,"14,000","9,337"
2018-03-21,"15,000","9,413"
2018-03-22,"16,400","9,480"
2018-03-23,"15,600","9,487"
2018-03-26,"16,000","9,623"
2018-03-27,"16,000","9,653"
2018-03-28,"15,600","9,727"
2018-03-29,"14,600","9,767"
2018-03-30,"14,200","9,753"
2018-04-02,"14,000","9,683"
2018-04-03,"13,800","9,627"
2018-04-04,"13,800","9,547"
2018-04-05,"13,600","9,507"
2018-04-06,"14,400","9,560"
2018-04-09,"15,800","9,700"
2018-04-10,"15,800","9,667"
2018-04-11,"15,800","9,660"
2018-04-12,"15,200","9,660"
2018-04-13,"15,000","9,567"
2018-04-16,"15,000","9,400"
2018-04-17,"16,400","9,387"
2018-04-18,"16,400","9,467"
2018-04-19,"16,200","9,550"
2018-04-20,"16,400","9,505"
2018-04-23,"17,400","9,683"
2018-04-24,"17,400","9,863"
2018-04-25,"19,200","10,053"
